id,match_id,period,minute,player,player_id,position,period,location_x,location_y,pass_recipient,pass_recipient_id,pass_end_location_x,pass_end_location_y,pass_type,pass_cross,shot_key_pass_id,pass_height,pass_length,pass_outcome,pass_goal_assist,pass_shot_assist,team,home_away,pass_success
bd7a4187-f3ad-4f5b-a85c-e36ddeff8058,3943043,1,0,Álvaro Borja Morata Martín,3477.0,Center Forward,1,61.9,67.1,Lamine Yamal Nasraoui Ebana,316046.0,65.1,66.9,Recovery,,,Ground Pass,3.206244,Incomplete,,,Spain,home,incomplete
4c1ea3ef-a760-42f0-8294-18e2a78b7dd0,3943043,1,2,Álvaro Borja Morata Martín,3477.0,Center Forward,1,58.4,74.2,Lamine Yamal Nasraoui Ebana,316046.0,72.0,71.1,,,,High Pass,13.948835,Incomplete,,,Spain,home,incomplete
11c7481c-4526-414f-93c1-d7435bc5bab8,3943043,1,2,Declan Rice,3943.0,Left Defensive Midfield,1,55.4,8.3,Jude Bellingham,30714.0,86.4,13.4,,,,High Pass,31.416716,Incomplete,,,England,away,incomplete
a56970c1-40b7-424a-95f2-9f9dd1449466,3943043,1,3,Álvaro Borja Morata Martín,3477.0,Center Forward,1,69.2,69.5,,,72.7,69.8,,,,Ground Pass,3.5128336,Incomplete,,,Spain,home,incomplete
c4709aef-8bd9-46a5-a125-de05469a6267,3943043,1,3,Kyle Walker,3205.0,Right Back,1,9.2,72.5,Harry Kane,10955.0,58.5,53.6,,,,High Pass,52.798676,Incomplete,,,England,away,incomplete
6c550db8-487b-4210-984f-4d94931aee11,3943043,1,3,Lamine Yamal Nasraoui Ebana,316046.0,Right Wing,1,78.4,71.3,Daniel Carvajal Ramos,5721.0,84.6,73.8,,,,Ground Pass,6.685058,Incomplete,,,Spain,home,incomplete
1f900d7c-eb9a-4130-8368-7ec4c4fd98aa,3943043,1,4,Daniel Olmo Carvajal,16532.0,Center Attacking Midfield,1,91.4,68.5,Álvaro Borja Morata Martín,3477.0,111.6,39.3,,True,,High Pass,35.506054,Incomplete,,,Spain,home,incomplete
3d00c9d5-56c4-4ef5-a13c-5d7f153c2b23,3943043,1,4,Nicholas Williams Arthuer,68574.0,Left Wing,1,100.7,10.4,,,111.5,35.3,,True,,Low Pass,27.141296,Incomplete,,,Spain,home,incomplete
107debb5-6e10-4e79-a8d1-689ad8fb2cbb,3943043,1,4,Nicholas Williams Arthuer,68574.0,Left Wing,1,120.0,0.1,Daniel Carvajal Ramos,5721.0,116.3,34.4,Corner,,,High Pass,34.498985,Incomplete,,,Spain,home,incomplete
75768321-f4d7-432a-9ab5-ca09f78bfe99,3943043,1,4,Marc Cucurella Saseta,17620.0,Left Back,1,77.5,35.1,,,97.3,34.7,Recovery,,,High Pass,19.80404,Incomplete,,,Spain,home,incomplete
9cfa3dcd-aa58-45f7-a45c-0393d2d80bb9,3943043,1,4,Bukayo Saka,22084.0,Right Wing,1,33.6,61.5,Phil Foden,4354.0,35.0,61.3,,,,Low Pass,1.4142135,Incomplete,,,England,away,incomplete
611702d3-c859-4c4c-8ccf-04080599c6c4,3943043,1,7,Fabián Ruiz Peña,6655.0,Left Defensive Midfield,1,106.5,21.4,Nicholas Williams Arthuer,68574.0,100.5,22.6,,,,Ground Pass,6.1188235,Incomplete,,,Spain,home,incomplete
d9f5651f-0e12-40fc-b26e-5bfaf925552f,3943043,1,7,Daniel Olmo Carvajal,16532.0,Center Attacking Midfield,1,100.7,30.5,,,104.7,26.7,,,,Ground Pass,5.517246,Incomplete,,,Spain,home,incomplete
942ceeb4-883f-4963-a865-02b52c7200ad,3943043,1,7,Declan Rice,3943.0,Left Defensive Midfield,1,3.0,73.6,,,5.1,73.6,,,,Low Pass,2.1,Incomplete,,,England,away,incomplete
6aa22dc4-8797-45cb-97d9-9d225a0eed3e,3943043,1,7,Harry Kane,10955.0,Center Forward,1,45.2,69.3,Phil Foden,4354.0,56.7,65.2,,,,Low Pass,12.209013,Incomplete,,,England,away,incomplete
b505f020-d619-4689-a979-a0e029112d96,3943043,1,8,Álvaro Borja Morata Martín,3477.0,Center Forward,1,84.4,25.2,Daniel Olmo Carvajal,16532.0,99.6,25.5,,,,Ground Pass,15.20296,Incomplete,,,Spain,home,incomplete
82e926d5-8b6d-4823-b15b-7b148dc8365d,3943043,1,8,Fabián Ruiz Peña,6655.0,Left Defensive Midfield,1,63.0,17.1,Álvaro Borja Morata Martín,3477.0,74.0,29.8,,,,Ground Pass,16.801489,Incomplete,,,Spain,home,incomplete
c6a04893-55f4-41b5-b3d8-91cd222ebac3,3943043,1,8,Declan Rice,3943.0,Left Defensive Midfield,1,56.9,49.1,Harry Kane,10955.0,58.2,52.7,,,,Ground Pass,3.8275318,Incomplete,,,England,away,incomplete
dd822c77-ca37-4192-9fee-bf6ae9d6d52a,3943043,1,9,Jordan Pickford,3468.0,Goalkeeper,1,25.6,21.6,Luke Shaw,3382.0,87.0,7.1,,,,High Pass,63.088905,Incomplete,,,England,away,incomplete
f4149d99-3e7d-4ec7-8f12-f418456c36ac,3943043,1,9,Daniel Carvajal Ramos,5721.0,Right Back,1,33.1,73.0,,,50.8,62.2,Recovery,,,Low Pass,20.734753,Incomplete,,,Spain,home,incomplete
1c439ea1-a83c-45d5-a943-090a2b7d1da9,3943043,1,10,Daniel Carvajal Ramos,5721.0,Right Back,1,21.1,74.8,Nicholas Williams Arthuer,68574.0,63.2,40.8,,,,High Pass,54.114784,Incomplete,,,Spain,home,incomplete
