id,match_id,period,minute,player,player_id,position,period,type,home_away,location_x,location_y,team,ball_recovery_outcome,duel_outcome,interception_outcome
4fe6ec8e-ff05-4a0e-95f5-6a716bac777a,3943043,1,43,Fabián Ruiz Peña,6655.0,Left Defensive Midfield,1,Duel,home,116.8,76.4,Spain,Ball Recovered,Lost Out,
9f18c722-cc2b-4a99-9f82-3854a6a1e327,3943043,1,44,Jude Bellingham,30714.0,Left Wing,1,Duel,away,92.2,19.4,England,Ball Recovered,Won,
d9e9f88d-311e-4110-bf47-cd4b5ff9f2de,3943043,1,45,Harry Kane,10955.0,Center Forward,1,Duel,away,111.1,37.4,England,Ball Recovered,,
1bb982ce-c344-4726-8cdf-1fd2d18fcfa6,3943043,1,46,Bukayo Saka,22084.0,Right Wing,1,Duel,away,87.4,75.0,England,Ball Recovered,,
ea22bf3c-c17e-4247-a422-621f6c5907f2,3943043,2,45,Álvaro Borja Morata Martín,3477.0,Center Forward,2,Duel,home,56.8,24.7,Spain,Ball Recovered,,
bd71b752-e88a-49bc-a0e4-ddb5f4afde24,3943043,2,47,Harry Kane,10955.0,Center Forward,2,Duel,away,94.7,59.5,England,Ball Recovered,,
14fefa1e-62d3-4038-8d67-252d6a8a9f18,3943043,2,49,Harry Kane,10955.0,Center Forward,2,Duel,away,64.5,28.1,England,Ball Recovered,,
506cf9a9-a82e-4c85-97db-0299d74d15c8,3943043,2,49,Kobbie Mainoo,99174.0,Right Defensive Midfield,2,Duel,away,62.5,18.7,England,Ball Recovered,Won,
cffc53c1-ddad-48fb-93aa-87f9ae2c3924,3943043,2,50,Lamine Yamal Nasraoui Ebana,316046.0,Right Wing,2,Duel,home,78.1,60.5,Spain,Ball Recovered,,
1ab49d1b-7462-4658-93f6-c197b3d6022e,3943043,2,51,Jude Bellingham,30714.0,Left Wing,2,Duel,away,92.6,19.8,England,Ball Recovered,,
f958714c-e398-448c-a86a-efccae5ccf73,3943043,2,54,Jude Bellingham,30714.0,Left Wing,2,Duel,away,48.1,6.0,England,Ball Recovered,Lost In Play,
3e12c429-6879-40df-bfdf-462173ebd3f4,3943043,2,55,Jude Bellingham,30714.0,Left Wing,2,Duel,away,15.3,25.4,England,Ball Recovered,Won,
453dc113-8380-4ecb-b0c7-2428ec16368e,3943043,2,57,Luke Shaw,3382.0,Left Back,2,Duel,away,46.7,6.5,England,Ball Recovered,Won,
