player,pass_recipient,team,home_away,pass_count,location_x,location_y,count,location_x_end,location_y_end,count_end
Marc Guehi,Jude Bellingham,England,away,4,46.873913043478254,19.982608695652175,23,67.41199999999999,25.868000000000002,25
Kyle Walker,Kobbie Mainoo,England,away,6,55.46944444444445,68.45833333333333,36,57.58571428571429,47.8,14
Bukayo Saka,Kyle Walker,England,away,7,84.24285714285713,68.34761904761905,21,55.46944444444445,68.45833333333333,36
Declan Rice,Kyle Walker,England,away,7,55.571875,38.534375,32,55.46944444444445,68.45833333333333,36
Jordan Pickford,Kyle Walker,England,away,6,13.434615384615386,39.01538461538461,26,55.46944444444445,68.45833333333333,36
Phil Foden,Kyle Walker,England,away,4,55.9,54.61875,16,55.46944444444445,68.45833333333333,36
Bukayo Saka,Phil Foden,England,away,4,84.24285714285713,68.34761904761905,21,55.9,54.61875,16
John Stones,Phil Foden,England,away,4,39.626666666666665,52.943333333333335,30,55.9,54.61875,16
Kyle Walker,Bukayo Saka,England,away,7,55.46944444444445,68.45833333333333,36,84.24285714285713,68.34761904761905,21
Phil Foden,Bukayo Saka,England,away,4,55.9,54.61875,16,84.24285714285713,68.34761904761905,21
Declan Rice,Marc Guehi,England,away,4,55.571875,38.534375,32,46.873913043478254,19.982608695652175,23
Jordan Pickford,Marc Guehi,England,away,5,13.434615384615386,39.01538461538461,26,46.873913043478254,19.982608695652175,23
Fabián Ruiz Peña,Aymeric Laporte,Spain,home,8,65.78928571428571,31.31607142857143,56,48.28625,23.057499999999997,80
Marc Cucurella Saseta,Aymeric Laporte,Spain,home,11,65.91666666666667,9.795238095238094,42,48.28625,23.057499999999997,80
Robin Aime Robert Le Normand,Aymeric Laporte,Spain,home,23,46.1025,54.753750000000004,80,48.28625,23.057499999999997,80
Rodrigo Hernández Cascante,Aymeric Laporte,Spain,home,9,63.09655172413793,37.324137931034485,29,48.28625,23.057499999999997,80
Unai Simón Mendibil,Aymeric Laporte,Spain,home,14,12.238235294117647,40.57941176470588,34,48.28625,23.057499999999997,80
Fabián Ruiz Peña,Daniel Carvajal Ramos,Spain,home,8,65.78928571428571,31.31607142857143,56,65.61111111111111,71.92063492063492,63
Lamine Yamal Nasraoui Ebana,Daniel Carvajal Ramos,Spain,home,9,83.375,63.29583333333333,24,65.61111111111111,71.92063492063492,63
Nicholas Williams Arthuer,Daniel Carvajal Ramos,Spain,home,4,83.00975609756098,22.190243902439025,41,65.61111111111111,71.92063492063492,63
Robin Aime Robert Le Normand,Daniel Carvajal Ramos,Spain,home,21,46.1025,54.753750000000004,80,65.61111111111111,71.92063492063492,63
Jude Bellingham,Harry Kane,England,away,4,67.41199999999999,25.868000000000002,25,51.279999999999994,30.2,5
John Stones,Jordan Pickford,England,away,10,39.626666666666665,52.943333333333335,30,13.434615384615386,39.01538461538461,26
Marc Guehi,Jordan Pickford,England,away,5,46.873913043478254,19.982608695652175,23,13.434615384615386,39.01538461538461,26
Marc Guehi,Luke Shaw,England,away,4,46.873913043478254,19.982608695652175,23,63.28947368421053,8.442105263157895,19
