unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,unnamed: 19_level_0_ast,unnamed: 20_level_0_xag,unnamed: 21_level_0_xa,unnamed: 22_level_0_kp,unnamed: 23_level_0_1/3,unnamed: 24_level_0_ppa,unnamed: 25_level_0_crspa,unnamed: 26_level_0_prgp,unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,unnamed: 5_level_0_att,pass types_live,pass types_dead,pass types_fk,pass types_tb,pass types_sw,pass types_crs,pass types_ti,pass types_ck,corner kicks_in,corner kicks_out,corner kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,tackles_tkl,tackles_tklw,tackles_def 3rd,tackles_mid 3rd,tackles_att 3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,unnamed: 17_level_0_int,unnamed: 18_level_0_tkl+int,unnamed: 19_level_0_clr,unnamed: 20_level_0_err,unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,touches_touches,touches_def pen,touches_def 3rd,touches_mid 3rd,touches_att 3rd,touches_att pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,unnamed: 0_level_0_player,unnamed: 1_level_0_#,unnamed: 2_level_0_pos,unnamed: 3_level_0_age,unnamed: 4_level_0_min,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial duels_won,aerial duels_lost,aerial duels_won%,team_
Aymeric Laporte,14.0,CB,30-048,90,0,0,0,0,1,0,0,0,92,0,1,0,0.0,0.0,0.0,1,0,78,82,95.1,6,71,4,0,0,Aymeric Laporte,14.0,CB,30-048,90,78,82,95.1,1542,384,28,29,96.6,40,42,95.2,10,11,90.9,0,0.0,0.0,0,9,1,0,6,Aymeric Laporte,14.0,CB,30-048,90,82,80,2,0,0,0,0,0,0,0,0,0,78,0,0,Aymeric Laporte,14.0,CB,30-048,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,Aymeric Laporte,14.0,CB,30-048,90,92,10,34,54,4,1,92,0,0,,0,,71,513,370,4,3,0,0,0,72,0,Aymeric Laporte,14.0,CB,30-048,90,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,50.0,Home
Robin Le Normand,3.0,CB,27-246,82,0,0,0,0,1,0,0,0,89,0,0,0,0.1,0.1,0.0,2,0,80,84,95.2,5,69,2,0,0,Robin Le Normand,3.0,CB,27-246,82,80,84,95.2,1515,459,24,25,96.0,52,52,100.0,4,6,66.7,0,0.0,0.0,0,9,0,0,5,Robin Le Normand,3.0,CB,27-246,82,84,84,0,0,0,0,0,0,0,0,0,0,80,0,1,Robin Le Normand,3.0,CB,27-246,82,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Robin Le Normand,3.0,CB,27-246,82,89,6,41,43,5,1,89,0,0,,0,,69,375,240,2,2,0,0,0,72,0,Robin Le Normand,3.0,CB,27-246,82,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,66.7,Home
Nacho,4.0,CB,34-178,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0,Nacho,4.0,CB,34-178,8,3,3,100.0,48,33,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Nacho,4.0,CB,34-178,8,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Nacho,4.0,CB,34-178,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Nacho,4.0,CB,34-178,8,4,1,3,1,0,0,4,0,0,,0,,3,24,19,0,0,0,0,0,3,0,Nacho,4.0,CB,34-178,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Home
Dani Carvajal,2.0,RB,32-185,90,0,0,0,0,0,0,0,0,80,4,0,2,0.0,0.0,0.1,3,1,62,72,86.1,5,40,2,2,1,Dani Carvajal,2.0,RB,32-185,90,62,72,86.1,1069,288,35,39,89.7,20,22,90.9,6,8,75.0,0,0.1,0.1,2,3,1,0,5,Dani Carvajal,2.0,RB,32-185,90,72,58,14,0,0,0,4,14,0,0,0,0,62,0,2,Dani Carvajal,2.0,RB,32-185,90,4,3,1,3,0,1,2,50.0,1,2,1,1,0,4,1,2,Dani Carvajal,2.0,RB,32-185,90,80,1,22,36,22,2,80,2,1,50.0,1,50.0,40,166,55,2,0,1,0,3,49,3,Dani Carvajal,2.0,RB,32-185,90,0,0,0,1,0,0,4,0,3,0,0,0,3,1,1,50.0,Home
Unai Simón,23.0,GK,27-033,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,36,41,87.8,0,32,0,0,0,Unai Simón,23.0,GK,27-033,90,36,41,87.8,808,498,6,6,100.0,24,24,100.0,6,11,54.5,0,0.0,0.0,0,0,0,0,0,Unai Simón,23.0,GK,27-033,90,41,33,8,4,0,0,0,0,0,0,0,0,36,0,0,Unai Simón,23.0,GK,27-033,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Unai Simón,23.0,GK,27-033,90,42,35,42,0,0,0,42,0,0,,0,,32,99,57,0,0,0,0,0,28,0,Unai Simón,23.0,GK,27-033,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Home
15 Players,,,,990,2,2,0,0,16,6,1,0,685,15,4,9,1.9,1.9,1.9,29,4,515,595,86.6,43,453,30,13,4,15 Players,,,,990,515,595,86.6,8969,2599,233,254,91.7,227,248,91.5,43,64,67.2,2,1.9,1.1,14,37,10,1,43,15 Players,,,,990,595,550,44,5,2,2,25,21,10,8,0,0,515,1,16,15 Players,,,,990,15,11,4,6,5,8,13,61.5,5,9,4,5,4,19,15,2,15 Players,,,,990,685,58,190,313,188,30,685,13,4,30.8,8,61.5,453,2364,1365,30,18,9,11,10,508,42,15 Players,,,,990,1,0,0,11,5,1,25,4,11,0,0,0,35,13,12,52.0,Home
Harry Kane,9.0,FW,30-352,60,0,0,0,0,1,0,1,0,12,0,0,1,0.1,0.1,0.0,1,0,5,10,50.0,3,5,0,0,0,Harry Kane,9.0,FW,30-352,60,5,10,50.0,131,80,1,4,25.0,2,3,66.7,2,2,100.0,0,0.0,0.0,0,1,0,0,3,Harry Kane,9.0,FW,30-352,60,10,10,0,0,0,0,0,0,0,0,0,0,5,0,1,Harry Kane,9.0,FW,30-352,60,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Harry Kane,9.0,FW,30-352,60,12,1,3,4,5,1,12,0,0,,0,,5,8,5,0,0,0,1,0,10,2,Harry Kane,9.0,FW,30-352,60,1,0,0,1,0,0,0,0,0,0,0,0,1,2,4,33.3,Away
Ollie Watkins,19.0,FW,28-197,30,0,0,0,0,1,0,1,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Ollie Watkins,19.0,FW,28-197,30,2,2,100.0,30,1,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Ollie Watkins,19.0,FW,28-197,30,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,Ollie Watkins,19.0,FW,28-197,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ollie Watkins,19.0,FW,28-197,30,4,0,0,2,2,1,4,0,0,,0,,1,0,0,0,0,0,1,0,2,1,Ollie Watkins,19.0,FW,28-197,30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Away
Jude Bellingham,10.0,"LW,LM",21-015,90,0,1,0,0,1,0,0,0,46,6,1,2,0.0,0.0,0.1,4,1,21,31,67.7,3,17,1,3,1,Jude Bellingham,10.0,"LW,LM",21-015,90,21,31,67.7,406,75,10,13,76.9,9,12,75.0,2,2,100.0,1,0.1,0.5,2,2,1,0,3,Jude Bellingham,10.0,"LW,LM",21-015,90,31,31,0,0,1,0,0,0,0,0,0,0,21,0,2,Jude Bellingham,10.0,"LW,LM",21-015,90,6,5,2,1,3,1,4,25.0,3,2,0,2,1,7,3,0,Jude Bellingham,10.0,"LW,LM",21-015,90,46,4,12,22,14,2,46,3,1,33.3,1,33.3,17,112,59,1,0,1,1,2,27,3,Jude Bellingham,10.0,"LW,LM",21-015,90,0,0,0,0,2,0,0,1,5,0,0,0,8,3,3,50.0,Away
Bukayo Saka,7.0,"RW,RM",22-313,90,0,0,0,0,0,0,0,0,33,0,0,2,0.0,0.0,0.1,3,1,21,23,91.3,3,22,3,4,0,Bukayo Saka,7.0,"RW,RM",22-313,90,21,23,91.3,284,67,15,17,88.2,6,6,100.0,0,0,,0,0.1,0.2,2,0,2,0,3,Bukayo Saka,7.0,"RW,RM",22-313,90,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0,Bukayo Saka,7.0,"RW,RM",22-313,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Bukayo Saka,7.0,"RW,RM",22-313,90,33,1,7,4,22,3,33,4,0,0.0,2,50.0,22,145,104,3,1,2,2,0,24,11,Bukayo Saka,7.0,"RW,RM",22-313,90,0,0,0,1,3,0,0,0,0,0,0,0,3,0,1,0.0,Away
