player,pass_recipient,team,home_away,pass_count
Kobbie Mainoo,Jude Bellingham,England,away,1
Kobbie Mainoo,Kyle Walker,England,away,2
Kobbie Mainoo,Phil Foden,England,away,3
Kyle Walker,Bukayo Saka,England,away,7
Kyle Walker,Cole Palmer,England,away,2
Kyle Walker,Declan Rice,England,away,3
Kyle Walker,Harry Kane,England,away,2
Kyle Walker,John Stones,England,away,9
Kyle Walker,Jordan Pickford,England,away,2
Kyle Walker,Kobbie Mainoo,England,away,6
Kyle Walker,Luke Shaw,England,away,2
Kyle Walker,Marc Guehi,England,away,1
Kyle Walker,Phil Foden,England,away,2
Lamine Yamal Nasraoui Ebana,Daniel Carvajal Ramos,Spain,home,9
Lamine Yamal Nasraoui Ebana,Daniel Olmo Carvajal,Spain,home,2
Lamine Yamal Nasraoui Ebana,Fabián Ruiz Peña,Spain,home,2
Lamine Yamal Nasraoui Ebana,Martín Zubimendi Ibáñez,Spain,home,1
Lamine Yamal Nasraoui Ebana,Nicholas Williams Arthuer,Spain,home,5
Lamine Yamal Nasraoui Ebana,Robin Aime Robert Le Normand,Spain,home,4
Lamine Yamal Nasraoui Ebana,Álvaro Borja Morata Martín,Spain,home,1
Luke Shaw,Bukayo Saka,England,away,1
Luke Shaw,Declan Rice,England,away,3
Luke Shaw,Jordan Pickford,England,away,1
Luke Shaw,Jude Bellingham,England,away,6
Luke Shaw,Kobbie Mainoo,England,away,3
Luke Shaw,Marc Guehi,England,away,3
Luke Shaw,Phil Foden,England,away,2
Marc Cucurella Saseta,Aymeric Laporte,Spain,home,11
Marc Cucurella Saseta,Daniel Olmo Carvajal,Spain,home,1
Marc Cucurella Saseta,Fabián Ruiz Peña,Spain,home,10
Marc Cucurella Saseta,Martín Zubimendi Ibáñez,Spain,home,2
Marc Cucurella Saseta,Mikel Oyarzabal Ugarte,Spain,home,1
Marc Cucurella Saseta,Nicholas Williams Arthuer,Spain,home,13
Marc Cucurella Saseta,Rodrigo Hernández Cascante,Spain,home,2
Marc Cucurella Saseta,Unai Simón Mendibil,Spain,home,1
Marc Cucurella Saseta,Álvaro Borja Morata Martín,Spain,home,1
Marc Guehi,Declan Rice,England,away,7
Marc Guehi,John Stones,England,away,2
Marc Guehi,Jordan Pickford,England,away,5
Marc Guehi,Jude Bellingham,England,away,4
Marc Guehi,Kyle Walker,England,away,1
Marc Guehi,Luke Shaw,England,away,4
Martín Zubimendi Ibáñez,Aymeric Laporte,Spain,home,2
Martín Zubimendi Ibáñez,Daniel Carvajal Ramos,Spain,home,1
Martín Zubimendi Ibáñez,Daniel Olmo Carvajal,Spain,home,1
Martín Zubimendi Ibáñez,Fabián Ruiz Peña,Spain,home,8
Martín Zubimendi Ibáñez,José Ignacio Fernández Iglesias,Spain,home,1
Martín Zubimendi Ibáñez,Marc Cucurella Saseta,Spain,home,2
Martín Zubimendi Ibáñez,Mikel Oyarzabal Ugarte,Spain,home,1
Martín Zubimendi Ibáñez,Nicholas Williams Arthuer,Spain,home,3
Martín Zubimendi Ibáñez,Robin Aime Robert Le Normand,Spain,home,3
Martín Zubimendi Ibáñez,Unai Simón Mendibil,Spain,home,1
Mikel Oyarzabal Ugarte,Marc Cucurella Saseta,Spain,home,1
Mikel Oyarzabal Ugarte,Martín Zubimendi Ibáñez,Spain,home,1
Mikel Oyarzabal Ugarte,Robin Aime Robert Le Normand,Spain,home,1
Nicholas Williams Arthuer,Aymeric Laporte,Spain,home,3
Nicholas Williams Arthuer,Daniel Carvajal Ramos,Spain,home,4
Nicholas Williams Arthuer,Daniel Olmo Carvajal,Spain,home,5
Nicholas Williams Arthuer,Fabián Ruiz Peña,Spain,home,5
Nicholas Williams Arthuer,Lamine Yamal Nasraoui Ebana,Spain,home,6
Nicholas Williams Arthuer,Marc Cucurella Saseta,Spain,home,7
Nicholas Williams Arthuer,Martín Zubimendi Ibáñez,Spain,home,2
Nicholas Williams Arthuer,Rodrigo Hernández Cascante,Spain,home,2
Nicholas Williams Arthuer,Álvaro Borja Morata Martín,Spain,home,7
Ollie Watkins,Jordan Pickford,England,away,1
Phil Foden,Bukayo Saka,England,away,4
Phil Foden,Declan Rice,England,away,2
Phil Foden,Jordan Pickford,England,away,1
Phil Foden,Jude Bellingham,England,away,2
Phil Foden,Kobbie Mainoo,England,away,3
Phil Foden,Kyle Walker,England,away,4
Robin Aime Robert Le Normand,Aymeric Laporte,Spain,home,23
Robin Aime Robert Le Normand,Daniel Carvajal Ramos,Spain,home,21
Robin Aime Robert Le Normand,Daniel Olmo Carvajal,Spain,home,2
Robin Aime Robert Le Normand,Fabián Ruiz Peña,Spain,home,8
Robin Aime Robert Le Normand,Lamine Yamal Nasraoui Ebana,Spain,home,4
Robin Aime Robert Le Normand,Martín Zubimendi Ibáñez,Spain,home,3
Robin Aime Robert Le Normand,Nicholas Williams Arthuer,Spain,home,1
Robin Aime Robert Le Normand,Rodrigo Hernández Cascante,Spain,home,3
Robin Aime Robert Le Normand,Unai Simón Mendibil,Spain,home,11
Robin Aime Robert Le Normand,Álvaro Borja Morata Martín,Spain,home,4
Rodrigo Hernández Cascante,Aymeric Laporte,Spain,home,9
Rodrigo Hernández Cascante,Daniel Carvajal Ramos,Spain,home,1
Rodrigo Hernández Cascante,Daniel Olmo Carvajal,Spain,home,1
Rodrigo Hernández Cascante,Fabián Ruiz Peña,Spain,home,4
Rodrigo Hernández Cascante,Lamine Yamal Nasraoui Ebana,Spain,home,2
Rodrigo Hernández Cascante,Nicholas Williams Arthuer,Spain,home,3
Rodrigo Hernández Cascante,Robin Aime Robert Le Normand,Spain,home,9
Unai Simón Mendibil,Aymeric Laporte,Spain,home,14
Unai Simón Mendibil,Daniel Olmo Carvajal,Spain,home,2
Unai Simón Mendibil,José Ignacio Fernández Iglesias,Spain,home,1
Unai Simón Mendibil,Marc Cucurella Saseta,Spain,home,1
Unai Simón Mendibil,Robin Aime Robert Le Normand,Spain,home,15
Unai Simón Mendibil,Álvaro Borja Morata Martín,Spain,home,1
Álvaro Borja Morata Martín,Daniel Carvajal Ramos,Spain,home,2
Álvaro Borja Morata Martín,Daniel Olmo Carvajal,Spain,home,2
Álvaro Borja Morata Martín,Fabián Ruiz Peña,Spain,home,1
Álvaro Borja Morata Martín,Lamine Yamal Nasraoui Ebana,Spain,home,1
Álvaro Borja Morata Martín,Martín Zubimendi Ibáñez,Spain,home,4
Álvaro Borja Morata Martín,Nicholas Williams Arthuer,Spain,home,2
Álvaro Borja Morata Martín,Rodrigo Hernández Cascante,Spain,home,3
