name,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Total shots 1,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third phase,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Total saves,Goals prevented,Goal kicks,Team,Goal
homeValue,65,1.95,5,16,2,10,11,545,15,5,1,16,6,0,5,5,12,4,2,3,1,31,0,1,489,21,128,45,23,4,45,10,24,13,4,11,15,4,39,15,2,-0.4502,6,Spain,2
awayValue,35,0.53,2,9,4,2,5,294,18,11,3,9,4,0,2,3,5,4,0,2,1,16,2,0,229,11,55,43,24,1,55,7,34,12,5,12,18,6,41,27,4,0.1568,11,England,1
