id,match_id,period,minute,player,player_id,position,location_x,location_y,pass_recipient,pass_recipient_id,pass_end_location_x,pass_end_location_y,pass_type,pass_length,pass_outcome,pass_body_part,team,home_away
3222f7b0-64d8-4b63-8310-397139a5a4d9,3943043,2,57,Unai Simón Mendibil,11748.0,Goalkeeper,15.4,29.1,Robin Aime Robert Le Normand,22128.0,24.5,48.9,,21.791054,,Right Foot,Spain,Home
b5014eb3-ea86-4565-b4ab-cea9a51b2432,3943043,2,58,Unai Simón Mendibil,11748.0,Goalkeeper,13.1,42.7,Robin Aime Robert Le Normand,22128.0,22.3,53.5,,14.187318,,Right Foot,Spain,Home
262a101d-20ff-4cfe-8ead-ded9a3dddbfb,3943043,2,58,Unai Simón Mendibil,11748.0,Goalkeeper,8.7,51.4,Daniel Olmo Carvajal,16532.0,50.9,53.8,,42.268192,,Right Foot,Spain,Home
3f172871-9692-4932-bf5b-3d5bd1a81cdf,3943043,2,64,Unai Simón Mendibil,11748.0,Goalkeeper,5.0,40.3,Robin Aime Robert Le Normand,22128.0,10.4,59.7,,20.137527,,Left Foot,Spain,Home
5dfe4d6f-0b61-4d3d-a89b-2ec55b8d950c,3943043,2,65,Unai Simón Mendibil,11748.0,Goalkeeper,4.5,39.5,,,65.0,28.5,,61.49187,Incomplete,Right Foot,Spain,Home
14329682-f4a8-4456-b375-d58cbae57b42,3943043,2,71,Unai Simón Mendibil,11748.0,Goalkeeper,10.0,33.8,Daniel Olmo Carvajal,16532.0,49.7,47.4,,41.964867,,Right Foot,Spain,Home
b81280ba-e006-4aa8-aaaa-ed5bc34873cc,3943043,2,73,Unai Simón Mendibil,11748.0,Goalkeeper,15.4,36.4,Robin Aime Robert Le Normand,22128.0,16.7,65.6,,29.228924,,Right Foot,Spain,Home
f0698da1-3aeb-4b97-805a-037a47a123c8,3943043,2,75,Unai Simón Mendibil,11748.0,Goalkeeper,5.0,35.0,Aymeric Laporte,4353.0,15.3,26.6,Goal Kick,13.290975,,Right Foot,Spain,Home
e4494801-3f88-44a8-ba37-eb0796db77ae,3943043,2,75,Unai Simón Mendibil,11748.0,Goalkeeper,15.7,40.3,Robin Aime Robert Le Normand,22128.0,25.4,53.1,,16.0602,,Right Foot,Spain,Home
ebd13a02-d564-407a-b7a8-29de32095cf1,3943043,2,76,Unai Simón Mendibil,11748.0,Goalkeeper,17.3,39.1,Aymeric Laporte,4353.0,28.7,23.3,,19.483326,,Right Foot,Spain,Home
6b5c5e68-5810-4913-90d7-359bc0b2d753,3943043,2,76,Unai Simón Mendibil,11748.0,Goalkeeper,13.7,43.0,Aymeric Laporte,4353.0,15.9,22.0,,21.114923,,Right Foot,Spain,Home
38753aa3-673a-4136-89ee-716c09c8cf26,3943043,2,80,Unai Simón Mendibil,11748.0,Goalkeeper,16.5,38.3,Aymeric Laporte,4353.0,26.2,24.4,,16.949926,,Right Foot,Spain,Home
21a223ce-c337-41b0-b60b-286661ba82a8,3943043,2,83,Unai Simón Mendibil,11748.0,Goalkeeper,21.2,31.3,José Ignacio Fernández Iglesias,5202.0,28.7,40.3,,11.715375,,Right Foot,Spain,Home
52d8514b-33bc-4f2f-9db7-b2f2f865575a,3943043,2,84,Unai Simón Mendibil,11748.0,Goalkeeper,28.1,39.7,Marc Cucurella Saseta,17620.0,40.1,31.1,,14.763469,,Right Foot,Spain,Home
6afea8ce-1780-4598-8e09-5d1be972121a,3943043,2,89,Unai Simón Mendibil,11748.0,Goalkeeper,5.4,43.8,,,70.9,79.4,Goal Kick,74.54938,Out,Right Foot,Spain,Home
d993c1f2-93a4-4ebc-a2e3-f1d2974ff165,3943043,2,91,Unai Simón Mendibil,11748.0,Goalkeeper,26.1,21.1,Mikel Merino Zazón,3042.0,81.1,32.0,Free Kick,56.069687,Incomplete,Right Foot,Spain,Home
c97bde53-d083-4ffc-a545-8636450650e4,3943043,2,93,Unai Simón Mendibil,11748.0,Goalkeeper,22.9,5.5,Mikel Merino Zazón,3042.0,98.1,23.4,Free Kick,77.30103,Unknown,Right Foot,Spain,Home
237201b8-aef8-4823-b282-e82875795c07,3943043,1,0,Jordan Pickford,3468.0,Goalkeeper,28.7,31.6,Bukayo Saka,22084.0,120.0,67.7,,98.1779,Out,Left Foot,England,Away
c0be00e1-cee8-4ab8-943d-113f2a3e6499,3943043,1,3,Jordan Pickford,3468.0,Goalkeeper,7.9,41.6,Kyle Walker,3205.0,10.8,67.0,,25.565016,,Left Foot,England,Away
7dee9f2d-78cd-4a21-afce-89907af35a46,3943043,1,9,Jordan Pickford,3468.0,Goalkeeper,18.5,29.3,Bukayo Saka,22084.0,56.6,73.9,,58.658077,,Left Foot,England,Away
dd822c77-ca37-4192-9fee-bf6ae9d6d52a,3943043,1,9,Jordan Pickford,3468.0,Goalkeeper,25.6,21.6,Luke Shaw,3382.0,87.0,7.1,,63.088905,Incomplete,Left Foot,England,Away
629a9dc4-3301-4835-abd0-d6f602e2e8d6,3943043,1,13,Jordan Pickford,3468.0,Goalkeeper,6.0,42.4,,,109.4,36.8,Goal Kick,103.55154,Incomplete,Left Foot,England,Away
1e763785-9d9e-45ed-917b-6acb4ac8667a,3943043,1,16,Jordan Pickford,3468.0,Goalkeeper,8.6,14.5,Jude Bellingham,30714.0,56.9,15.6,,48.312523,,Left Foot,England,Away
a210ba27-2692-4b98-90dd-9d438284f995,3943043,1,19,Jordan Pickford,3468.0,Goalkeeper,14.8,42.6,Marc Guehi,34526.0,15.6,17.4,,25.212696,,Keeper Arm,England,Away
34f5259f-7243-45f2-96e1-0c5e8f83cf95,3943043,1,21,Jordan Pickford,3468.0,Goalkeeper,20.1,72.5,Harry Kane,10955.0,88.0,50.3,Free Kick,71.437035,Incomplete,Left Foot,England,Away
c8f2ef87-91f8-44e1-95da-5978bcb3e59c,3943043,1,22,Jordan Pickford,3468.0,Goalkeeper,13.0,41.9,Phil Foden,4354.0,41.5,42.6,,28.508595,,Keeper Arm,England,Away
fb2eb23c-89b0-40ff-8710-32643485b9c7,3943043,1,27,Jordan Pickford,3468.0,Goalkeeper,15.9,35.0,John Stones,3244.0,13.8,58.3,,23.394444,,Keeper Arm,England,Away
988adee7-b0c7-4f09-8ba6-d692425d8fdb,3943043,1,27,Jordan Pickford,3468.0,Goalkeeper,7.7,35.3,Marc Guehi,34526.0,16.3,11.0,,25.776928,,Right Foot,England,Away
1d169030-7b0c-4bf5-a36f-18c2feefd537,3943043,1,28,Jordan Pickford,3468.0,Goalkeeper,22.2,27.3,Jude Bellingham,30714.0,87.0,16.9,,65.629265,Incomplete,Left Foot,England,Away
525ba1f7-da38-4238-a0cb-c0e042e93cae,3943043,1,29,Jordan Pickford,3468.0,Goalkeeper,4.6,38.8,Kyle Walker,3205.0,13.2,72.6,,34.876926,,Left Foot,England,Away
eb80fbea-d67b-4f20-a703-eedbabc050fa,3943043,1,31,Jordan Pickford,3468.0,Goalkeeper,20.9,28.1,Marc Guehi,34526.0,27.7,3.9,,25.137224,,Right Foot,England,Away
1f351e1f-1a8e-4dbf-b761-64e42cd004f3,3943043,1,36,Jordan Pickford,3468.0,Goalkeeper,6.0,44.8,Kyle Walker,3205.0,65.2,77.8,Goal Kick,67.7764,,Left Foot,England,Away
f66195d4-6ced-477d-8ba2-ef049565f659,3943043,1,38,Jordan Pickford,3468.0,Goalkeeper,4.0,45.4,Declan Rice,3943.0,15.6,43.0,Goal Kick,11.8456745,,Left Foot,England,Away
754390a3-f8d6-4eb9-8dcb-026c3db0e94e,3943043,1,38,Jordan Pickford,3468.0,Goalkeeper,3.7,38.7,Jude Bellingham,30714.0,62.9,37.9,,59.205406,,Left Foot,England,Away
630e2bc8-993e-48c7-abf8-fea198372f7b,3943043,1,43,Jordan Pickford,3468.0,Goalkeeper,6.0,43.8,Harry Kane,10955.0,79.6,58.2,Goal Kick,74.99547,,Left Foot,England,Away
60d950a1-b3e0-4246-bb75-2a9cc4c49dc4,3943043,1,46,Jordan Pickford,3468.0,Goalkeeper,6.0,42.8,Bukayo Saka,22084.0,87.4,75.0,Goal Kick,87.53742,Incomplete,Left Foot,England,Away
85e227de-3884-4d89-891f-ce06abee96da,3943043,2,47,Jordan Pickford,3468.0,Goalkeeper,36.2,27.0,Harry Kane,10955.0,94.7,59.5,,66.92159,Incomplete,Left Foot,England,Away
6be8911a-b0e3-444c-a852-3afb17c4c27f,3943043,2,48,Jordan Pickford,3468.0,Goalkeeper,5.8,45.8,John Stones,3244.0,7.2,60.6,Goal Kick,14.866069,,Left Foot,England,Away
d4487bbd-ae7a-4ab8-b126-dd37052a8f24,3943043,2,49,Jordan Pickford,3468.0,Goalkeeper,14.2,31.5,Harry Kane,10955.0,64.5,28.1,,50.41478,Incomplete,Left Foot,England,Away
