unnamed: 0_level_0_player,unnamed: 1_level_0_age,unnamed: 2_level_0_min,shot stopping_sota,shot stopping_ga,shot stopping_saves,shot stopping_save%,shot stopping_psxg,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,team_
Unai Simón,27-033,90,3,1,2,66.7,0.5,3,7,42.9,37,3,16.2,26.4,4,25.0,29.0,5,0,0.0,1,26.0,Home
Jordan Pickford,30-129,90,6,2,4,66.7,2.2,6,22,27.3,31,6,45.2,38.7,11,72.7,56.7,19,2,10.5,0,5.6,Away
