name,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Total shots,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third phase,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Total saves,Goals prevented,Goal kicks,Team,Goal
homeValue,65.0,1.95,5.0,16.0,2.0,10.0,11.0,545.0,15.0,5.0,1.0,16.0,6.0,0.0,5.0,5.0,12.0,4.0,2.0,3.0,1.0,31.0,0.0,1.0,489.0,21.0,128.0,45.0,23.0,4.0,45.0,10.0,24.0,13.0,4.0,11.0,15.0,4.0,39.0,15.0,2.0,-0.4502,6.0,Spain,2
awayValue,35.0,0.53,2.0,9.0,4.0,2.0,5.0,294.0,18.0,11.0,3.0,9.0,4.0,0.0,2.0,3.0,5.0,4.0,0.0,2.0,1.0,16.0,2.0,0.0,229.0,11.0,55.0,43.0,24.0,1.0,55.0,7.0,34.0,12.0,5.0,12.0,18.0,6.0,41.0,27.0,4.0,0.1568,11.0,England,1
